name,vendor_code,hex_color,oklch_l,oklch_c,oklch_h,color_family
Forget-Me-Knot,827,ABD0ED,0.841,0.057,241.960,Blue
Gallic Blue,813,6B9BD6,0.679,0.102,254.163,Blue
Tuareg Blue,826,2C6CB5,0.528,0.132,254.007,Blue
Gentian Blue,825,084C8C,0.416,0.123,253.041,Blue
Marine Blue,824,043B76,0.357,0.114,255.190,Blue-violet
Electric Blue,996,62B5FE,0.751,0.133,247.202,Blue
Pool Blue,3843,1385F6,0.621,0.193,254.317,Blue
Plunge Pool,995,006BD6,0.540,0.184,255.920,Blue-violet
Navajo Blue,3846,54CFF8,0.802,0.122,223.645,Blue
Turquoise,3845,0DB1E3,0.710,0.136,227.381,Blue
Lagoon,3844,01A0D0,0.659,0.129,228.429,Blue
Stormy Sky,159,C5CDF1,0.854,0.051,275.406,Blue-violet
Stormy Blue,160,8F9CD1,0.702,0.079,273.553,Blue-violet
Blue Ash,161,5C6CAD,0.547,0.103,272.122,Blue-violet
Cloud Blue,3756,DDEFFD,0.943,0.027,241.157,Blue
Blue Summer Rain,775,C1DDF6,0.885,0.046,245.288,Blue
Igloo Blue,3841,ADD0F0,0.843,0.058,246.153,Blue
Arctic Blue,3325,89B9E1,0.766,0.077,244.170,Blue
Pastel Blue,3755,65A1D2,0.688,0.096,244.471,Blue
Light Indigo,334,307FC0,0.579,0.126,247.201,Blue
Delft Blue,322,3E75C1,0.562,0.132,256.984,Blue-violet
Midnight Blue,312,1C4182,0.387,0.118,260.740,Blue-violet
Inky Blue,803,1A3474,0.345,0.115,264.465,Blue-violet
Indigo Blue,336,182F69,0.324,0.106,264.790,Blue-violet
Blueberry,823,0E204E,0.260,0.088,264.774,Blue-violet
Elderberry Blue,939,000E33,0.181,0.077,260.828,Blue-violet
Moonlight Blue,3753,BCD5F1,0.864,0.047,251.332,Blue-violet
Light Porcelain Blue,3752,9BB9D9,0.774,0.056,250.224,Blue
Blue Gull,932,6587AE,0.613,0.071,252.356,Blue
Blue Gray,931,497097,0.533,0.076,249.419,Blue
Slate Gray,930,284F77,0.419,0.081,250.842,Blue
Dark Petrol Blue,3750,1E426C,0.375,0.083,253.883,Blue
Sea Air,828,C2E9FF,0.913,0.051,232.785,Blue
Aquamarine Blue,3761,9CD6F7,0.848,0.075,233.764,Blue
Bluish Spray,519,83BEF1,0.780,0.095,245.518,Blue
Nattier Blue,518,499DD4,0.668,0.115,240.324,Blue
Fjord Blue,3760,3F8ECF,0.627,0.125,246.476,Blue
Nautical Blue,517,066DBC,0.527,0.148,250.294,Blue
Prussian Blue,3842,045FA4,0.478,0.133,249.939,Blue
Dark Polar Blue,311,114D8D,0.420,0.121,254.112,Blue
Blue Sea Mist,747,C9F1F8,0.932,0.042,209.353,Blue
Blue Green,3766,84CEE1,0.810,0.078,215.830,Blue
Turquoise Tide,807,359EBB,0.652,0.102,220.151,Blue
Blue Teal,3765,066A98,0.498,0.108,237.598,Blue
Blue Waterfall,3811,BDE7EF,0.901,0.045,210.470,Blue
Pale Lagoon,598,95D3DF,0.829,0.065,210.929,Blue
Pack Ice Blue,597,58A8C6,0.693,0.090,224.904,Blue
Persian Blue,3810,1F8CAD,0.597,0.104,223.923,Blue
Sea Cave,3809,097995,0.535,0.097,221.891,Blue
Mallard,3808,056780,0.477,0.087,222.480,Blue
Oyster Shell,928,D4E9ED,0.920,0.023,210.397,Blue
Oyster,927,AFCFD4,0.833,0.035,208.008,Blue
Gray Green,926,79A0AF,0.682,0.048,223.539,Blue
Storm,3768,477790,0.545,0.065,232.429,Blue
Tahitian Pearl,924,2F6783,0.488,0.074,232.839,Blue
Turquoise Green,3849,53B2B2,0.707,0.089,195.318,Blue-green
Mermaid’s Tail,3848,129191,0.596,0.099,194.832,Blue-green
Chinese Green,3847,007575,0.509,0.087,194.769,Blue-green
Sea Green,964,A7E6E2,0.881,0.064,191.130,Blue-green
Pale Viridian,959,59C9C2,0.769,0.102,189.661,Blue-green
Green Valley,958,2CAAA2,0.670,0.106,188.548,Blue-green
Viridian,3812,008F85,0.585,0.103,186.187,Blue-green
Emerald Shard,3851,36BAA8,0.715,0.114,181.816,Blue-green
Acid Green,943,00A38D,0.640,0.117,178.573,Blue-green
Emerald,3850,00947B,0.595,0.112,175.087,Blue-green
Peppermint,993,6CC6BD,0.768,0.088,187.128,Blue-green
Mint,992,42A99F,0.672,0.096,186.297,Blue-green
Spruce,3814,179088,0.591,0.098,187.726,Blue-green
Frog,991,00857C,0.555,0.097,186.511,Blue-green
Soft Green,966,91C0AC,0.769,0.057,166.861,Green
